attribute,mean,max,min
ATSm4,53.860832400735276,378.682984,0.0
pattern_c88,0.6605392156862745,1.0,0.0
maccs_322_028,0.6605392156862745,1.0,0.0
maccs_k132,0.5912990196078431,1.0,0.0
maccs_k126,0.7340686274509803,1.0,0.0
meta_substituted_ring,0.5091911764705882,1.0,0.0
pattern_c89,0.6446078431372549,1.0,0.0
maccs_322_034,0.6446078431372549,1.0,0.0
pattern_c34,0.6446078431372549,1.0,0.0
ATSm3,48.25158931004907,298.747967,0.0
pattern_c16,0.27267156862745096,1.0,0.0
maccs_322_051,0.35049019607843135,1.0,0.0
pattern_c111,0.2800245098039216,1.0,0.0
maccs_k136,0.33578431372549017,1.0,0.0
primary alcohol,0.15870098039215685,1.0,0.0
pubchem_f663,0.25306372549019607,1.0,0.0
AMR,100.4979493872547,512.0106,0.0
ATSc3,-0.06314871139705887,2.779294,-2.440778
pubchem_f357,0.4221813725490196,1.0,0.0
nAcid,0.446078431372549,14.0,0.0
pubchem_f592,0.07169117647058823,1.0,0.0
pubchem_f638,0.7156862745098039,1.0,0.0
nRotB,7.579656862745095,81.0,0.0
para_substituted_ring,0.5110294117647058,1.0,0.0
alkenyl,0.32659313725490197,1.0,0.0
pattern_c42,0.32659313725490197,1.0,0.0
pattern_c41,0.32659313725490197,1.0,0.0
pubchem_f551,0.07291666666666667,1.0,0.0
pattern_c80,0.3584558823529412,1.0,0.0
ortho_substituted_ring,0.5079656862745098,1.0,0.0
ATSc2,-0.31395003431372526,0.005913,-3.619953
maccs_322_015,0.5098039215686274,1.0,0.0
maccs_k144,0.5098039215686274,1.0,0.0
pattern_c70,0.32659313725490197,1.0,0.0
pubchem_f681,0.678921568627451,1.0,0.0
pattern_c79,0.3639705882352941,1.0,0.0
MLogP,2.906311274509805,7.29,-2.06
cc_double_bond,0.35294117647058826,1.0,0.0
maccs_k099,0.35294117647058826,1.0,0.0
maccs_322_125,0.35294117647058826,1.0,0.0
maccs_k076,0.35232843137254904,1.0,0.0
pattern_c26,0.12622549019607843,1.0,0.0
pattern_c78,0.3247549019607843,1.0,0.0
pattern_c82,0.3492647058823529,1.0,0.0
carbonyl,0.5741421568627451,1.0,0.0
co_single_bond,0.7647058823529411,1.0,0.0
maccs_k157,0.7647058823529411,1.0,0.0
sugar_pattern_combi,0.11642156862745098,1.0,0.0
pattern_c74,0.3700980392156863,1.0,0.0
maccs_k152,0.6482843137254902,1.0,0.0
pubchem_f342,0.6482843137254902,1.0,0.0
pattern_c83,0.3602941176470588,1.0,0.0
pubchem_f536,0.5888480392156863,1.0,0.0
pattern_c69,0.39215686274509803,1.0,0.0
pattern_c81,0.36703431372549017,1.0,0.0
maccs_k104,0.4479166666666667,1.0,0.0
pubchem_f014,0.13419117647058823,1.0,0.0
maccs_322_061,0.7297794117647058,1.0,0.0
pubchem_f504,0.06311274509803921,1.0,0.0
pubchem_f682,0.24325980392156862,1.0,0.0
pattern_c72,0.3866421568627451,1.0,0.0
pubchem_f640,0.29901960784313725,1.0,0.0
maccs_k086,0.18382352941176472,1.0,0.0
maccs_322_027,0.7849264705882353,1.0,0.0
pattern_c86,0.7849264705882353,1.0,0.0
pubchem_f691,0.3069852941176471,1.0,0.0
sugar_pattern_2,0.12683823529411764,1.0,0.0
maccs_k159,0.7463235294117647,1.0,0.0
pubchem_f020,0.7463235294117647,1.0,0.0
maccs_322_259,0.27818627450980393,1.0,0.0
maccs_k123,0.45894607843137253,1.0,0.0
pubchem_f381,0.45894607843137253,1.0,0.0
_13-tautomerizable,0.6274509803921569,1.0,0.0
pattern_c38,0.6274509803921569,1.0,0.0
maccs_322_017,0.5422794117647058,1.0,0.0
pattern_c68,0.3131127450980392,1.0,0.0
maccs_k093,0.2616421568627451,1.0,0.0
pubchem_f599,0.0661764705882353,1.0,0.0
pubchem_f347,0.5337009803921569,1.0,0.0
pubchem_f441,0.37806372549019607,1.0,0.0
maccs_322_044,0.6795343137254902,1.0,0.0
pattern_c67,0.4074754901960784,1.0,0.0
pubchem_f662,0.15318627450980393,1.0,0.0
pattern_c112,0.16605392156862744,1.0,0.0
hexoside,0.09803921568627451,1.0,0.0
pubchem_f363,0.06740196078431372,1.0,0.0
pubchem_f502,0.06740196078431372,1.0,0.0
pubchem_f353,0.8590686274509803,1.0,0.0
aliph_carboxylic,0.19975490196078433,1.0,0.0
pubchem_f687,0.1636029411764706,1.0,0.0
pubchem_f287,0.8725490196078431,1.0,0.0
maccs_322_127,0.5943627450980392,1.0,0.0
ALogp2,17.821823409313676,803.830234,0.0
pattern_c305,0.061274509803921566,1.0,0.0
pubchem_f580,0.5404411764705882,1.0,0.0
carboxyl,0.2181372549019608,1.0,0.0
oxygen_atom,0.897671568627451,1.0,0.0
maccs_k164,0.897671568627451,1.0,0.0
pubchem_f019,0.897671568627451,1.0,0.0
maccs_322_063,0.015318627450980392,1.0,0.0
pubchem_f144,0.4068627450980392,1.0,0.0
ring_of_size5,0.4068627450980392,1.0,0.0
maccs_k096,0.4068627450980392,1.0,0.0
pubchem_f702,0.2708333333333333,1.0,0.0
pubchem_f564,0.15502450980392157,1.0,0.0
sugar_pattern_2_alpha,0.08823529411764706,1.0,0.0
pubchem_f348,0.12622549019607843,1.0,0.0
maccs_k087,0.09375,1.0,0.0
maccs_k089,0.37683823529411764,1.0,0.0
ATSc4,0.05188348651960787,2.436468,-3.204807
pubchem_f444,0.6439950980392157,1.0,0.0
maccs_322_013,0.23590686274509803,1.0,0.0
pubchem_f517,0.5802696078431373,1.0,0.0
pattern_c48,0.40441176470588236,1.0,0.0
pubchem_f615,0.40441176470588236,1.0,0.0
aryl halide,0.09129901960784313,1.0,0.0
pubchem_f463,0.12193627450980392,1.0,0.0
pubchem_f538,0.12193627450980392,1.0,0.0
pattern_c113,0.12009803921568628,1.0,0.0
pubchem_f391,0.47671568627450983,1.0,0.0
fatty acyl,0.25,1.0,0.0
pubchem_f286,0.5202205882352942,1.0,0.0
pubchem_f015,0.5208333333333334,1.0,0.0
nitrogen_atom,0.5208333333333334,1.0,0.0
maccs_k161,0.5208333333333334,1.0,0.0
pubchem_f608,0.2971813725490196,1.0,0.0
maccs_k050,0.2181372549019608,1.0,0.0
poly_sugar_1,0.07659313725490197,1.0,0.0
pubchem_f690,0.6035539215686274,1.0,0.0
pubchem_f367,0.6158088235294118,1.0,0.0
r5_1ht_sat,0.1133578431372549,1.0,0.0
pubchem_f840,0.11274509803921569,1.0,0.0
pubchem_f685,0.5012254901960784,1.0,0.0
112_trisubstituted_alkene,0.16237745098039216,1.0,0.0
pattern_c39,0.5134803921568627,1.0,0.0
pubchem_f352,0.5134803921568627,1.0,0.0
pubchem_f344,0.009191176470588236,1.0,0.0
pubchem_f023,0.07352941176470588,1.0,0.0
poly_sugar_2,0.07352941176470588,1.0,0.0
pubchem_f180,0.602328431372549,1.0,0.0
maccs_k156,0.5153186274509803,1.0,0.0
maccs_k082,0.25857843137254904,1.0,0.0
pubchem_f368,0.13480392156862744,1.0,0.0
maccs_322_060,0.4172794117647059,1.0,0.0
pubchem_f453,0.3860294117647059,1.0,0.0
pubchem_f611,0.13419117647058823,1.0,0.0
pubchem_f151,0.1213235294117647,1.0,0.0
pubchem_f336,0.3547794117647059,1.0,0.0
aliphatic_chain_13,0.14583333333333334,1.0,0.0
pubchem_f634,0.24387254901960784,1.0,0.0
unfused_benzene,0.28431372549019607,1.0,0.0
phenoxide_para_subs,0.28431372549019607,1.0,0.0
benzene,0.28431372549019607,1.0,0.0
acetal,0.1323529411764706,1.0,0.0
pattern_c324,0.03615196078431373,1.0,0.0
pubchem_f541,0.4209558823529412,1.0,0.0
oxolane,0.08946078431372549,1.0,0.0
ATSm1,34.80684448651963,254.960713,1.774469
maccs_k125,0.33026960784313725,1.0,0.0
maccs_k100,0.27144607843137253,1.0,0.0
maccs_k085,0.23284313725490197,1.0,0.0
pubchem_f392,0.23284313725490197,1.0,0.0
sat_carb_r6,0.23774509803921567,1.0,0.0
pattern_c50,0.3131127450980392,1.0,0.0
pubchem_f258,0.3272058823529412,1.0,0.0
pubchem_f196,0.0625,1.0,0.0
sugar_pattern_2_beta,0.08394607843137254,1.0,0.0
pattern_c85,0.35232843137254904,1.0,0.0
pattern_c35,0.35232843137254904,1.0,0.0
pattern_c37,0.53125,1.0,0.0
edg,0.29840686274509803,1.0,0.0
pubchem_f421,0.6654411764705882,1.0,0.0
pubchem_f189,0.11213235294117647,1.0,0.0
pattern_c206,0.011029411764705883,1.0,0.0
pubchem_f362,0.011029411764705883,1.0,0.0
pubchem_f003,0.6825980392156863,1.0,0.0
maccs_k128,0.5490196078431373,1.0,0.0
allylic alcohol,0.05943627450980392,1.0,0.0
cn_single_bond,0.4791666666666667,1.0,0.0
maccs_k158,0.4791666666666667,1.0,0.0
pubchem_f861,0.13357843137254902,1.0,0.0
maccs_k043,0.058823529411764705,1.0,0.0
maccs_k148,0.5073529411764706,1.0,0.0
maccs_k057,0.33088235294117646,1.0,0.0
oxacycle,0.33088235294117646,1.0,0.0
pubchem_f562,0.0024509803921568627,1.0,0.0
pubchem_f610,0.014093137254901961,1.0,0.0
pubchem_f179,0.7524509803921569,1.0,0.0
ring_of_size6,0.7616421568627451,1.0,0.0
maccs_k163,0.7616421568627451,1.0,0.0
pubchem_f147,0.2555147058823529,1.0,0.0
pubchem_f366,0.45526960784313725,1.0,0.0
maccs_k154,0.6593137254901961,1.0,0.0
pubchem_f039,0.02696078431372549,1.0,0.0
maccs_322_257,0.5814950980392157,1.0,0.0
pattern_c115,0.12867647058823528,1.0,0.0
pattern_c87,0.3382352941176471,1.0,0.0
pattern_c6,0.2647058823529412,1.0,0.0
pattern_c137,0.0508578431372549,1.0,0.0
2B6,0.0,0.0,0.0
